VALKRETSNAMN,seats
Stockholms kommun,29
Stockholms län,39
Uppsala län,11
Södermanlands län,9
Östergötlands län,14
Jönköpings län,11
Kronobergs län,6
Kalmar län,8
Gotlands län,2
Blekinge län,5
Malmö kommun,10
Skåne läns västra,9
Skåne läns södra,12
Skåne läns norra och östra,10
Hallands län,10
Göteborgs kommun,17
Västra Götalands läns västra,11
Västra Götalands läns norra,8
Västra Götalands läns södra,7
Västra Götalands läns östra,9
Värmlands län,9
Örebro län,9
Västmanlands län,8
Dalarnas län,9
Gävleborgs län,9
Västernorrlands län,8
Jämtlands län,4
Västerbottens län,9
Norrbottens län,8
